gear_code,gear,discontinued_date,gear_type
73,Drum Seine,NA,Beach seine
78,Beach Seine,NA,Beach seine
14,Diving - Abalone Iron,4/1/96,"Diving, spear, hand"
15,Diving /Hooks (Sea Urchins),4/1/96,"Diving, spear, hand"
18,Diving,NA,"Diving, spear, hand"
11,Spear,4/1/96,"Diving, spear, hand"
12,Harpoon/Spear,NA,"Diving, spear, hand"
90,Hand Take,NA,"Diving, spear, hand"
63,Large Mesh Drift Gn,NA,Gillnet
64,Small Mesh Drift Gn,NA,Gillnet
65,Drift Gill Net,2/1/16,Gillnet
66,Set Gill Net,2/1/16,Gillnet
67,Large Mesh Set Gn,NA,Gillnet
68,Small Mesh Set Gn,NA,Gillnet
69,Herring Gn,NA,Gillnet
1,Hook & Line,NA,Hook & Line
30,Horizontal Set Line,4/1/96,Longline
82,Pelagic Deep-Set Longline,NA,Longline
81,Pelagic Shallow-Set Longline,NA,Longline
5,Set Longline,NA,Longline
32,Troll Long Line,4/1/96,Longline
3,Vertical Hook & Line/Portuguese Longline,NA,Longline
31,Vertical Set Line,4/1/96,Longline
0,Unknown,4/1/96,Other
2,Live Bait,4/1/96,Other
4,Mooching (Salmon),NA,Other
6,Jig/Bait (Albacore),NA,Other
10,Miscellaneous,4/1/96,Other
13,"Rakes, Forks",4/1/96,Other
17,"Kelp Barge, Shearing",4/1/96,Other
19,Dredge,4/1/96,Other
95,Raft/Lines For Herring Roe On Kelp,NA,Other
35,Dainish/Scottish Seine,NA,Other
36,Jig/Bait,4/1/96,Other
42,Fish Pump,4/1/96,Other
52,Paranzella,4/1/96,Other
72,Half Ring,4/1/96,Other
83,"Standard Buoy Gear, Deep-Set",NA,Other
84,"Linked Buoy Gear, Deep-Set",NA,Other
91,Hand Pump,NA,Other
99,Other,NA,Other
16,Cast Net,4/1/96,Other net
23,"Shrimp Net, Chinese Type",4/1/96,Other net
24,Fyke Net,4/1/96,Other net
26,"Hoop Net, Crab-Rings",4/1/96,Other net
28,Lift Net,4/1/96,Other net
40,Brail/Dip Net Or A-Frame,NA,Other net
41,"Dip Net, ""A"" Frame",4/1/96,Other net
60,Entangling Nets,4/1/96,Other net
61,Trammel Net,4/1/96,Other net
70,Encircling Nets,4/1/96,Other net
74,Lampara Net,NA,Other net
80,Net,4/1/96,Other net
71,Purse Seine,NA,Purse seine
20,Entrapping,4/1/96,Trap
21,Fish Trap,NA,Trap
22,Prawn Trap,NA,Trap
25,"Traps, Seattle Type (Sablefish)",4/1/96,Trap
27,Crab Or Lobster Trap,NA,Trap
37,Bucket Trap,NA,Trap
38,Barrel Trap,NA,Trap
33,Pelagic Trawl,4/1/96,Trawl
34,Pair Trawl 2,4/1/96,Trawl
47,"Selective Flatfish Trawl, Small Footrope",NA,Trawl
48,Trawl - Footrope Less Than 8 Inches In Diameter,NA,Trawl
49,Trawl - Footrope Greater Than 8 Inches In Diameter,NA,Trawl
50,Trawl Net,4/1/96,Trawl
51,Trawl With Roller Gear,4/1/96,Trawl
53,Pair Trawl,NA,Trawl
54,Midwater Trawl,NA,Trawl
55,Beam Trawl,NA,Trawl
56,Bottom Trawl,NA,Trawl
57,Balloon Trawl,4/1/96,Trawl
58,Single-Rigged Trawl,NA,Trawl
59,Double-Rigged Trawl,NA,Trawl
7,Troll (Albacore),NA,Troll
8,Troll (Groundfish Or Other Fish),NA,Troll
9,Troll (Salmon),NA,Troll