SpeciesCode,SpeciesGroupCode,CommonName,CategorizedCommonName,ScientificName,SpeciesTypeCode,TaxCode,ReportGroupCode,Restriction,PacFinCode,DiscontinueDate
457,1,"Hagfish, Unspecified ","Unspecified, Hagfish",Eptatretus spp.               ,1,16,00,,UHAG,N/A
458,1,"Hagfish, Pacific ","Pacific, Hagfish",Eptatretus stoutii,,,,,,N/A
459,1,Black Hagfish ,Black Hagfish,Eptatretus deani,,,,,,N/A
465,,Tai ,Tai,Tai,,16,,,,N/A
467,1,Opah ,Opah,Lampris guttatus,1,16,00,,MSC2,N/A
470,1,Sturgeons ,Sturgeons,Acipenseridae,4,16,00,COMM,USTG,N/A
471,1,"Sturgeon, Green ","Green, Sturgeon",Acipenser medirostris,4,16,00,BOTH,GSTG,N/A
472,1,"Sturgeon, White ","White, Sturgeon",Acipenser transmontanus,4,16,00,COMM,WSTG,N/A
473,1,"Lizardfish, California ","California, Lizardfish",Synodus lucioceps,1,16,,,MSC2,N/A
474,1,"Perch- Like, Unspecified ","Unspecified, Perch- Like",Kyphosidae/Pomacentridae,1,16,00,COMM,MSC2,N/A
475,1,Opaleye ,Opaleye,Girella nigricans             ,1,16,00,,MSC2,N/A
476,1,"Needlefish, California ","California, Needlefish",Strongylura exilis            ,1,16,,,MSC2,N/A
477,1,Bonefish ,Bonefish,Albula vulpes                 ,1,16,00,,MSC2,N/A
478,1,Halfmoon ,Halfmoon,Medialuna californiensis      ,1,16,00,,MSC2,N/A
479,1,Blacksmith ,Blacksmith,Chromis punctipinnis          ,1,16,00,,MSC2,N/A
480,1,Sargo ,Sargo,Anisotremus davidsonii        ,1,16,,,MSC2,N/A
481,1,Dolphin (fish) ,Dolphin (fish),Coryphaena hippurus           ,1,16,00,,MSC2,N/A
482,1,Garibaldi ,Garibaldi,Hypsypops rubicundus          ,1,16,00,CPFV,MSC2,N/A
483,1,"Mudsucker, Longjaw ","Longjaw, Mudsucker",Gillichthys mirabilis         ,3,16,,,MSC2,N/A
484,1,Salema ,Salema,Xenistius californiensis      ,1,16,,,MSC2,N/A
485,1,"Midshipman, Plainfin ","Plainfin, Midshipman",Porichthys notatus            ,1,16,,,MSHP,N/A
486,1,"Goby, Bluebanded ","Bluebanded, Goby",Lythrypnus dalli              ,1,16,00,,MSC2,N/A
487,1,"Goby, Yellowfin ","Yellowfin, Goby",Acanthogobius flavimanus      ,3,16,00,,MSC2,N/A
488,1,"Goby, Zebra ","Zebra, Goby",Lythrypnus zebra              ,1,16,00,,MSC2,N/A
490,1,"Whitefish, Ocean ","Ocean, Whitefish",Caulolatilus princeps         ,1,16,00,,OWFS,N/A
491,1,"Killifish, California ","California, Killifish",Fundulus parvipinnis          ,3,16,,,MSC2,N/A
495,1,"Whiting, Pacific ","Pacific, Whiting",Merluccius productus,1,16,00,,PWHT,N/A
501,1,"Kelpfish, Giant ","Giant, Kelpfish",Heterostichus rostratus       ,1,16,00,,KFSH,N/A
510,1,Kelpfishes ,Kelpfishes,Gibbonsia spp.                ,1,16,00,,MSC2,N/A
550,1,"Surfperch, Unspecified ","Unspecified, Surfperch",Embiotocidae,1,16,55,,SRFP,N/A
551,1,"Surfperch, Barred ","Barred, Surfperch",Amphistichus argenteus        ,1,16,55,,SRFP,N/A
552,1,"Surfperch, Black ","Black, Surfperch",Embiotoca jacksoni            ,1,16,55,,SRFP,N/A
553,1,"Surfperch, Redtail ","Redtail, Surfperch",Amphistichus rhodoterus       ,1,16,55,,SRFP,N/A
554,1,"Surfperch, Shiner ","Shiner, Surfperch",Cymatogaster aggregata        ,1,16,55,,SRFP,N/A
555,1,"Seaperch, Striped ","Striped, Seaperch",Embiotoca lateralis,1,16,55,,SRFP,N/A
556,1,"Surfperch, White ","White, Surfperch",Phanerodon furcatus           ,1,16,55,,SRFP,N/A
557,1,"Surfperch, Walleye ","Walleye, Surfperch",Hyperprosopon argenteum       ,1,16,55,,SRFP,N/A
558,1,"Surfperch, Rubberlip ","Rubberlip, Surfperch",Rhacochilus toxotes           ,1,16,55,,SRFP,N/A
559,1,"Surfperch, Pile ","Pile, Surfperch",Rhacochilus vacca             ,1,16,55,,SRFP,N/A
560,1,"Surfperch, Calico ","Calico, Surfperch",Amphistichus koelzi           ,1,16,55,,SRFP,N/A
561,1,"Surfperch, Dwarf ","Dwarf, Surfperch",Micrometrus minimus           ,1,16,55,,SRFP,N/A
562,1,"Surfperch, Rainbow ","Rainbow, Surfperch",Hypsurus caryi                ,1,16,55,,SRFP,N/A
563,1,"Surfperch, Pink ","Pink, Surfperch",Zalembius rosaceus            ,1,16,55,,SRFP,N/A
564,1,"Surfperch, Silver ","Silver, Surfperch",Hyperprosopon ellipticum,1,16,55,,SRFP,N/A
601,1,Kahawai ,Kahawai,Arripis trutta,1,16,,,MSC2,N/A
602,1,Zebraperch ,Zebraperch,Hermosilla azurea             ,1,16,00,,MSC2,N/A
650,1,"Rockfish, Rougheye ","Rougheye, Rockfish",Sebastes aleutianus,1,16,25,,REYE,N/A
651,1,"Rockfish, Olive ","Olive, Rockfish",Sebastes serranoides,1,16,25,,OLV1,N/A
652,1,"Rockfish, Grass ","Grass, Rockfish",Sebastes rastrelliger,1,16,25,,GRS1,N/A
653,1,"Rockfish, Pink ","Pink, Rockfish",Sebastes eos,1,16,25,,PNK1,N/A
654,1,"Rockfish, Greenstriped ","Greenstriped, Rockfish",Sebastes elongatus,1,16,25,,GSR1,N/A
655,1,"Rockfish, Copper ","Copper, Rockfish",Sebastes caurinus,1,16,25,,COP1,N/A
656,1,"Rockfish, Blackspotted ","Blackspotted, Rockfish",Sebastes melanostictus,1,16,25,,BSPR,N/A
657,1,"Rockfish, Flag ","Flag, Rockfish",Sebastes rubrivinctus,1,16,25,,FLG1,N/A
658,1,"Rockfish, Treefish ","Treefish, Rockfish",Sebastes serriceps,1,16,25,,TRE1,N/A
659,1,"Rockfish, Kelp ","Kelp, Rockfish",Sebastes atrovirens,1,16,25,,KLP1,N/A
660,1,"Rockfish, Honeycomb ","Honeycomb, Rockfish",Sebastes umbrosus,1,16,25,,HNY1,N/A
661,1,"Rockfish, Greenblotched ","Greenblotched, Rockfish",Sebastes rosenblatti,1,16,25,,GBL1,N/A
662,1,"Rockfish, Bronzespotted ","Bronzespotted, Rockfish",Sebastes gilli,1,16,25,CPFV,BRZ1,N/A
663,1,"Rockfish, Bank ","Bank, Rockfish",Sebastes rufus,1,16,25,,BNK1,N/A
664,1,"Rockfish, Rosethorn ","Rosethorn, Rockfish",Sebastes helvomaculatus,1,16,25,,RST1,N/A
665,1,"Rockfish, Blue ","Blue, Rockfish",Sebastes mystinus,1,16,25,,BLU1,N/A
666,1,"Rockfish, Squarespot ","Squarespot, Rockfish",Sebastes hopkinsi,1,16,25,,SQR1,N/A
667,1,"Rockfish, Blackgill ","Blackgill, Rockfish",Sebastes melanostomus,1,16,25,,BGL1,N/A
668,1,"Rockfish, Stripetail ","Stripetail, Rockfish",Sebastes saxicola,1,16,25,,STL1,N/A
669,1,"Rockfish, Speckled ","Speckled, Rockfish",Sebastes ovalis,1,16,25,,SPK1,N/A
670,1,"Rockfish, Swordspine ","Swordspine, Rockfish",Sebastes ensifer,1,16,25,,SWS1,N/A
671,1,"Rockfish, Calico ","Calico, Rockfish",Sebastes dallii,1,16,25,,CLC1,N/A
672,1,"Rockfish, Shortbelly ","Shortbelly, Rockfish",Sebastes jordani,1,16,25,,SBL1,N/A
673,1,"Rockfish, Chameleon ","Chameleon, Rockfish",Sebastes phillipsi,1,16,25,,CML1,N/A
674,1,"Rockfish, Aurora ","Aurora, Rockfish",Sebastes aurora,1,16,25,,ARR1,N/A
675,1,"Rockfish, Redbanded ","Redbanded, Rockfish",Sebastes babcocki,1,16,25,,RDB1,N/A
676,1,"Rockfish, Mexican ","Mexican, Rockfish",Sebastes macdonaldi,1,16,25,,MXR1,N/A
677,1,"Rockfish, Shortraker ","Shortraker, Rockfish",Sebastes borealis,1,16,25,,SRKR,N/A
678,1,"Thornyhead, Longspine ","Longspine, Thornyhead",Sebastolobus altivelis,1,16,25,,LSP1,N/A
679,1,"Thornyhead, Shortspine ","Shortspine, Thornyhead",Sebastolobus alascanus,1,16,25,,SSP1,N/A
680,8,Anemones ,Anemones,Anthozoa,1,16,00,,,N/A
681,8,Jellyfish ,Jellyfish,Hydrozoa,1,16,00,,UJEL,N/A
682,8,Sea Pansy ,Sea Pansy,Renilla koellikeri,1,16,00,,,N/A
683,4,"Limpet, Keyhole ","Keyhole, Limpet",Megathura crenulata,1,09,00,,,N/A
684,4,"Snail, Tegula ","Tegula, Snail",Tegula spp.,1,09,00,,OMSK,N/A
685,2,"Crab, Hermit ","Hermit, Crab",Paguristes sp.,1,10,80,,OCRB,N/A
686,2,"Crab, Spider/sheep Claws ","Spider/sheep Claws, Crab",Loxorhynchus spp.,1,10,80,,OCRB,N/A
687,3,Sand Dollar ,Sand Dollar,Dendraster excentricus,1,16,00,,,N/A
688,3,Bryozoan ,Bryozoan,Ectoprocta,,16,00,,,N/A
689,8,"Flatworm, Marine ","Marine, Flatworm",Platyhelminthes,3,16,00,,,N/A
690,4,Hornsnail ,Hornsnail,Cerithidea spp.,1,09,00,,,N/A
699,8,Invertebrate Unspecified ,Invertebrate Unspecified,,1,16,00,,,N/A
700,4,Abalone ,Abalone,Haliotis spp.,1,08,70,,UABL,N/A
701,4,"Abalone, Black ","Black, Abalone",Haliotis cracherodii          ,1,08,70,,BABL,N/A
702,4,"Abalone, Red ","Red, Abalone",Haliotis rufescens            ,1,08,70,,RABL,N/A
703,4,"Abalone, Green ","Green, Abalone",Haliotis fulgens              ,1,08,70,,GABL,N/A
704,4,"Abalone, Pink ","Pink, Abalone",Haliotis corrugata            ,1,08,70,,PABL,N/A
705,4,"Abalone, White ","White, Abalone",Haliotis sorenseni            ,1,08,70,,WABL,N/A
706,4,"Abalone, Threaded ","Threaded, Abalone",Haliotis assimilis            ,1,08,70,,OABL,N/A
707,4,"Abalone, Pinto ","Pinto, Abalone",Haliotis kamtschatkana        ,1,08,70,,OABL,N/A
708,4,"Abalone, Flat ","Flat, Abalone",Haliotis walallensis          ,1,08,70,,OABL,N/A
709,4,"Limpet, Unspecified ","Unspecified, Limpet",Archaeogastropoda             ,1,09,00,,UMSK,N/A
710,4,"Squid, Jumbo ","Jumbo, Squid",Doscidicus gigas              ,1,11,00,,SQID,N/A
711,4,"Squid, Market ","Market, Squid",Loligo opalescens             ,1,11,00,,MSQD,N/A
712,4,"Octopus, Unspecified ","Unspecified, Octopus",Octopus spp.,1,09,00,,OCTP,N/A
717,4,"Scallop, Weathervane ","Weathervane, Scallop",Patinopecten caurinus         ,1,09,,,OSCL,N/A
718,4,"Scallop, Rock ","Rock, Scallop",Crassadoma gigantea           ,1,09,00,,OSCL,N/A
719,4,"Scallop, Unspecified ","Unspecified, Scallop",Pectinidae                    ,1,09,,,USCL,N/A
720,4,"Clam, Unspecified ","Unspecified, Clam",Bivalvia                      ,1,09,72,,UCLM,N/A
721,4,"Clam, Common Littleneck ","Common Littleneck, Clam",Protothaca staminea           ,1,09,72,,LCLM,N/A
722,4,"Clam, Pismo ","Pismo, Clam",Tivela stultorum              ,1,09,72,BOTH,PCLM,N/A
723,4,"Clam, Softshell ","Softshell, Clam",Mya arenaria                  ,1,09,72,,SCLM,N/A
724,,Venus Clam ,Venus Clam,Venus Clam,,16,,,,N/A
725,4,"Clam, Northern Razor ","Northern Razor, Clam",Siliqua patula                ,1,09,72,,RCLM,N/A
726,4,"Clam, Gaper ","Gaper, Clam",Tresus nuttalli               ,1,09,72,,GCLM,N/A
727,4,"Clam, Common Washington ","Common Washington, Clam",Saxidomus nuttalli            ,1,09,72,,WCLM,N/A
728,4,"Clam, California Jackknife ","California Jackknife, Clam",Tagelus californianus         ,1,09,72,,JCLM,N/A
729,4,Sea Slug ,Sea Slug,Opisthobranchia               ,1,09,,,UMSK,N/A
730,4,Mussel ,Mussel,Mytilus spp.                  ,1,09,73,,UCLM,N/A
731,4,"Whelk, Kellet's ","Kellet's, Whelk",Kelletia Kelleti              ,1,09,00,,OMSK,N/A
732,4,"Snail, Sea ","Sea, Snail",Gastropoda                    ,1,09,00,,UMSK,N/A
733,4,"Clam, Freshwater ","Freshwater, Clam",Corbicula fluminea            ,5,00,34,,OCLM,N/A
734,4,"Clam, Purple ","Purple, Clam",Nuttallia nuttallii           ,1,09,72,,PRCL,N/A
735,4,"Clam, Rosy Razor ","Rosy Razor, Clam",Solen sicarius                ,1,09,72,,RZCL,N/A
736,4,"Snails, Moon ","Moon, Snails",Polinices spp.                ,1,09,,,UMSK,N/A
737,4,"Clam, Northern Quahog ","Northern Quahog, Clam",Mercenaria mercenaria         ,3,09,72,,QCLM,N/A
740,4,"Oyster, Unspecified ","Unspecified, Oyster",Ostreidae                     ,3,09,74,,USTR,N/A
741,4,"Oyster, Eastern ","Eastern, Oyster",Crassostrea virginica         ,3,09,74,BOTH,ESTR,N/A
742,4,"Oyster, California Native ","California Native, Oyster",Ostrea lurida                 ,3,09,74,,LSTR,N/A
743,4,"Oyster, Giant Pacific ","Giant Pacific, Oyster",Crassostrea gigas             ,3,09,74,BOTH,PSTR,N/A
744,,Kumamoto Oyster ,Kumamoto Oyster,Kumamoto Oyster,,16,,,,N/A
745,4,"Oyster, European Flat ","European Flat, Oyster",Ostrea edulis                 ,3,09,74,BOTH,EURO,N/A
746,4,"Snail, Bubble ","Bubble, Snail",Bulla gouldiana               ,3,09,00,,OMSK,N/A
747,4,"Snail, Top ","Top, Snail",Astraea undosa                ,1,09,00,,OMSK,N/A
749,4,Sea Hare ,Sea Hare,Aplysia spp.                  ,1,09,,,UMSK,N/A
750,3,"Echinoderm, Unspecified ","Unspecified, Echinoderm",Echinodermata                 ,1,16,,,UECH,N/A
751,3,Sea Stars ,Sea Stars,Asteroidea,1,16,00,,UECH,N/A
752,3,"Sea Urchin, Red ","Red, Sea Urchin",Strongylocentrotus franciscanu,1,07,00,,RURC,N/A
753,3,"Sea Urchin, Purple ","Purple, Sea Urchin",Strongylocentrotus purpuratus,1,07,00,,OURC,N/A
754,3,"Sea Cucumber, Giant Red ","Giant Red, Sea Cucumber",Parastichopus californicus,1,16,00,,USCU,N/A
755,3,"Sea Cucumber, Unspecified ","Unspecified, Sea Cucumber",Holothuroidea,1,16,00,,USCU,N/A
756,3,"Sea Urchin, White ","White, Sea Urchin",Lytechinus anamesus,1,07,00,,OURC,N/A
757,3,"Sea Cucumber, Warty ","Warty, Sea Cucumber",Parastichopus parvimensis,1,16,00,,USCU,N/A
758,3,Bat Star ,Bat Star,Patiria miniata,1,16,00,,UECH,N/A
759,3,"Sea Urchin, Coronado ","Coronado, Sea Urchin",Centrostephanus coronatus,1,07,00,,OURC,N/A
760,8,Sponges ,Sponges,Porifera                      ,1,16,,,MSC2,N/A
769,8,"Invertebrates, Colonial ","Colonial, Invertebrates",Cnidaria                      ,1,16,,,MSC2,N/A
771,,Purple Coral ,Purple Coral,Purple Coral,,16,,,,N/A
781,4,"Snail, Freshwater ","Freshwater, Snail",Gastropoda                    ,5,09,34,,,N/A
799,4,"Mollusk, Unspecified ","Unspecified, Mollusk",Mollusca                      ,1,09,00,,UMSK,N/A
800,2,"Crab, Dungeness ","Dungeness, Crab",Cancer magister               ,1,10,80,,DCRB,N/A
801,2,"Crab, Rock Unspecified ","Rock Unspecified, Crab",Cancer spp.                   ,1,10,80,,RCRB,N/A
802,2,"Crab, Claws ","Claws, Crab",Cancer spp.                   ,1,10,80,,UCRB,N/A
803,2,"Crab, Spider ","Spider, Crab",Loxorhynchus spp.             ,1,10,80,,OCRB,N/A
804,2,"Crab, King ","King, Crab",Paralithodes spp.             ,1,10,80,,UKCR,N/A
805,2,"Crab, Sand ","Sand, Crab",Emerita analoga               ,1,10,80,,OCRB,N/A
806,2,"Crab, Shore ","Shore, Crab",Pachygrapsus crassipes        ,1,10,80,,OCRB,N/A
807,2,"Crab, Pelagic Red ","Pelagic Red, Crab",Pleuroncodes planipes         ,1,10,80,,OCRB,N/A
808,2,"Crab, Tanner ","Tanner, Crab",Chionoecetes tanneri          ,1,10,80,,BTCR,N/A
809,2,"Crab, Box ","Box, Crab",Lopholithodes foraminatus     ,1,10,80,,OCRB,N/A
810,2,"Shrimp, Bay ","Bay, Shrimp",Crangonidae                   ,3,09,81,,BSRM,N/A
811,2,"Shrimp, Ghost ","Ghost, Shrimp",Callianassa californiensis    ,3,09,81,,GSRM,N/A
812,2,"Shrimp, Ocean (pink) ","Ocean (pink), Shrimp",Pandalus jordani,1,09,81,,PSHP,N/A
813,2,"Prawn, Ridgeback ","Ridgeback, Prawn",Eusicyonia ingentus           ,1,09,81,,RPRW,N/A
814,2,"Shrimp, Unspecified ","Unspecified, Shrimp",Crustacea                     ,1,09,81,,USRM,N/A
815,2,"Prawn, Spot ","Spot, Prawn",Pandalus platyceros           ,1,09,81,,SPRW,N/A
816,2,"Prawn, Golden ","Golden, Prawn",Penaeus Californiensis        ,1,09,81,,GPRW,N/A
817,2,"Shrimp, Coonstriped ","Coonstriped, Shrimp",Pandalus danae,1,09,81,,OSRM,N/A
818,2,"Shrimp, Red Rock ","Red Rock, Shrimp",Lysmata californica           ,1,09,81,,OSRM,N/A
819,2,"Shrimp, Brine ","Brine, Shrimp",Artemia salina                ,6,09,81,,BSRM,N/A
820,2,"Lobster, California Spiny ","California Spiny, Lobster",Panulirus interruptus         ,1,09,,,LOBS,N/A
821,2,"Shrimp, Mantis ","Mantis, Shrimp",Hemisquilla ensigera californiensis,1,09,81,,OSRM,N/A
823,2,"Crab, Armed Box ","Armed Box, Crab",Platymera gaudichaudii,1,10,80,,OCRB,N/A
825,2,"Crayfish, Signal ","Signal, Crayfish",Pacifastacus leniusculus      ,5,09,34,,,N/A
826,2,Barnacle ,Barnacle,Cirripedia                    ,1,09,,,MISC,N/A
827,2,"Crayfish, Red Swamp ","Red Swamp, Crayfish",Procambarus clarkii           ,5,09,34,,,N/A
828,2,"Crayfish, Unspecified ","Unspecified, Crayfish",Astacidae                     ,5,09,34,,,N/A
829,2,"Crab, Southern Kelp ","Southern Kelp, Crab",Taliepus nuttallii,1,10,80,,OCRB,N/A
830,8,"Spiders, Sea ","Sea, Spiders",Pycnogonida                   ,1,16,,,MISC,N/A
840,8,Tunicates ,Tunicates,Urochordata                   ,1,16,,,MISC,N/A
850,8,"Worms, Marine ","Marine, Worms",Polychaeta                    ,1,12,00,,MISC,N/A
851,8,Themiste ,Themiste,Themiste spp.                 ,3,16,,,MISC,N/A
860,4,"Chiton, Unspecified ","Unspecified, Chiton",Polyplacophora                ,1,09,,,UMSK,N/A
899,2,"Crustacean, Unspecified ","Unspecified, Crustacean",Crustacea                     ,1,09,00,,MISC,N/A
900,,Barracuda Roe ,Barracuda Roe,Barracuda Roe,,16,,,,N/A
901,,Shad Roe ,Shad Roe,Shad Roe,,16,,,,N/A
902,,Unclassified Roe ,Unclassified Roe,Unclassified Roe,,16,,,,N/A
903,,Whate Sea Bass Roe ,Whate Sea Bass Roe,Whate Sea Bass Roe,,16,,,,N/A
904,,Salmon Roe ,Salmon Roe,Salmon Roe,,16,,,,N/A
905,,Shark Fin ,Shark Fin,Shark Fin,,16,,,,N/A
906,,Shark Liver ,Shark Liver,Shark Liver,,16,,,,N/A
907,,Halibut Liver ,Halibut Liver,Halibut Liver,,16,,,,N/A
908,,Miscellaneous Livers ,Miscellaneous Livers,Miscellaneous Livers,,16,,,,N/A
909,,Skate Wing ,Skate Wing,Skate Wing,,16,,,,N/A
910,,Whale ,Whale,Whale,,16,,,,N/A
911,,Sablefish Liver ,Sablefish Liver,Sablefish Liver,,16,,,,N/A
912,,Swordfish Liver ,Swordfish Liver,Swordfish Liver,,16,,,,N/A
913,,White Sea Bass Liver ,White Sea Bass Liver,White Sea Bass Liver,,16,,,,N/A
914,,Hake Liver ,Hake Liver,Hake Liver,,16,,,,N/A
916,,Tuna Liver ,Tuna Liver,Tuna Liver,,16,,,,N/A
917,,Albacore Liver ,Albacore Liver,Albacore Liver,,16,,,,N/A
918,,Totuava Liver ,Totuava Liver,Totuava Liver,,16,,,,N/A
919,,Bonito Liver ,Bonito Liver,Bonito Liver,,16,,,,N/A
920,5,Frog ,Frog,Rana spp.                     ,5,12,34,,,N/A
921,5,"Frog, Bull ","Bull, Frog",Rana catesbiana               ,5,12,,,,N/A
922,,Pacific Cultus Liver ,Pacific Cultus Liver,Pacific Cultus Liver,,16,,,,N/A
923,,Skate Liver ,Skate Liver,Skate Liver,,16,,,,N/A
924,,Rockfish Liver ,Rockfish Liver,Rockfish Liver,,16,,,,N/A
930,9,Turtle ,Turtle,Chelonia mydas                ,1,16,,,,N/A
931,9,Terrapin ,Terrapin,Malaclemys spp.               ,1,16,,,,N/A
945,,Snail ,Snail,Snail,,16,,,,N/A
950,6,"Kelp, Giant ","Giant, Kelp",Macrocystis pyrifera,1,99,00,BOTH,MISC,N/A
951,6,Agar ,Agar,Gelidium spp.                 ,1,99,00,BOTH,MISC,N/A
952,,Sea Lettuce ,Sea Lettuce,Sea Lettuce,,16,,,,N/A
953,6,"Algae, Marine ","Marine, Algae",Phycophyta                    ,6,99,00,BOTH,MISC,N/A
955,,Marine Plants ,Marine Plants,Marine Plants,,16,,,,N/A
956,1,"Rockfish, Group Bocaccio/chili ","Group Bocaccio/chili, Rockfish",Sebastes/group,1,16,26,BOTH,RCK1,02/12/2019
957,1,"Rockfish, Group Bolina ","Group Bolina, Rockfish",Sebastes/group,1,16,26,,RCK2,02/12/2019
958,1,"Rockfish, Group Deepwater Reds ","Group Deepwater Reds, Rockfish",Sebastes/group,1,16,26,,RCK3,03/23/2020
959,1,"Rockfish, Group Red ","Group Red, Rockfish",Sebastes/group,1,16,26,,RCK4,02/12/2019
960,1,"Rockfish, Group Small ","Group Small, Rockfish",Sebastes/group,1,16,26,,RCK5,02/12/2019
961,1,"Rockfish, Group Rosefish ","Group Rosefish, Rockfish",Sebastes/group                ,1,16,26,,RCK6,02/12/2019
962,1,"Rockfish, Group Gopher ","Group Gopher, Rockfish",Sebastes/group,1,16,26,,RCK7,02/12/2019
964,1,"Rockfish, Group Rougheye/blackspotted ","Group Rougheye/blackspotted, Rockfish",Sebastes/group,1,16,26,,RBR1,02/12/2019
970,1,"Rockfish, Quillback ","Quillback, Rockfish",Sebastes maliger,1,16,25,,QLB1,N/A
971,1,"Rockfish, Group Canary/vermili ","Group Canary/vermili, Rockfish",Sebastes/group,1,16,26,,RCK8,02/12/2019
972,1,"Rockfish, Group Black/blue ","Group Black/blue, Rockfish",Sebastes/group,1,16,26,,RCK9,02/12/2019
973,1,"Rockfish, Group Nearshore ","Group Nearshore, Rockfish",Sebastes/group,1,16,26,,USHR,02/12/2019
974,1,"Rockfish, Group Shelf ","Group Shelf, Rockfish",Sebastes/group,1,16,26,,USLF,N/A
975,1,"Rockfish, Group Slope ","Group Slope, Rockfish",Sabastes/group,1,16,26,,USLP,N/A
976,1,"Rockfish, Group Deep Nearshore ","Group Deep Nearshore, Rockfish",Sebastes/group,1,16,26,,UDNR,02/12/2019
980,,Sea Lion ,Sea Lion,Sea Lion,,16,,,,N/A
981,,Sea Elephant ,Sea Elephant,Sea Elephant,,16,,,,N/A
992,1,Trawled Fish For Animal Food ,Trawled Fish For Animal Food,Osteichthyes,1,16,,,MSC2,N/A
995,1,"Herring, Pacific - Roe On Kelp ","Pacific - Roe On Kelp, Herring",Clupea/algae,1,06,00,,PHRG,N/A
997,1,"Trawled Fish, Unspecified ","Unspecified, Trawled Fish",Osteichthyes,1,16,,,MSC2,N/A
998,,Bait ,Bait,Bait,,16,,,,N/A
999,1,"Fish, Unspecified ","Unspecified, Fish",Osteichthyes                  ,1,16,00,,MISC,N/A

